Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 01/01  01:00:00,15.749523182098965,15.734257525565077,15.736862849241778,15.728085693323717,0.0,0.0,0.0,0.0,415.1971776341461,650.7635766750817,675.3189140113666,291.33645715976036 
 01/01  02:00:00,15.742851240015797,15.731232454293586,15.735781833807522,15.72931544261796,0.0,0.0,0.0,0.0,421.4443290774899,673.9489626365221,696.3860332660383,304.32269476942486 
 01/01  03:00:00,15.73346043580938,15.722353289010972,15.729017489140045,15.723136859758746,0.0,0.0,0.0,0.0,454.3961832253201,746.4931658694106,742.1559695981316,330.132056194507 
 01/01  04:00:00,15.735136852058156,15.725305051948055,15.733820800792387,15.728243706175641,0.0,0.0,0.0,0.0,477.743616899882,795.3393677668714,764.7299599736414,345.0545014988131 
 01/01  05:00:00,15.735942342365309,15.727377380346557,15.734084360605607,15.729662770899605,0.0,0.0,0.0,0.0,498.905428757554,841.6115478341837,791.6191772530749,360.59491157477777 
 01/01  06:00:00,15.736317997446475,15.72855252907294,15.732947842580877,15.729312044084244,0.0,0.0,0.0,0.0,520.8358597747233,888.4617242769078,824.2192372379743,378.62352240161886 
 01/01  07:00:00,15.748846550181796,15.75066149754553,15.745282940271661,15.746069480723303,0.0,0.0,0.0,0.0,533.5012820198756,897.792309663319,827.3011070503374,378.4516107631446 
 01/01  08:00:00,15.814079921162731,15.85143978238297,15.809102587090564,15.828049420848567,0.0,0.0,0.0,0.0,441.94580431503203,651.4418302249796,657.8267875985084,276.9655159450198 
 01/01  09:00:00,15.920939306927952,16.059786785669527,15.918995393066561,16.007363162330343,0.0,0.0,0.0,0.0,215.50753392580566,92.19168889856424,265.5372141100231,38.71356074704317 
 01/01  10:00:00,15.915562529555798,16.240931283875767,15.945201032293667,16.242160960980613,0.0,0.0,0.0,0.0,69.43261955036112,0.0,20.898388833618036,0.0 
