Date/Time,BLOCK1:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE2:Zone Thermostat Operative Temperature [C](Hourly),BLOCK2:ZONE1:Zone Thermostat Operative Temperature [C](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK2:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly) 
 06/25  23:00:00,23.473866476480534,23.34243476314022,23.161195820958703,23.17235518406632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/25  24:00:00,23.361177859174752,23.34368887480919,23.230371151986553,23.22609677695974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  01:00:00,23.22772695500265,23.2760245571969,23.205159795400494,23.191289503912408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  02:00:00,23.09776289069538,23.1923519119325,23.142221521821256,23.125063360171936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  03:00:00,22.985194283737,23.111514433008104,23.065366706579844,23.048004492155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  04:00:00,22.88297830836681,23.031040884239452,22.980303227741977,22.96436139182431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  05:00:00,22.8365853174085,23.000401541011268,22.92603815813345,22.916896823897453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  06:00:00,22.930825309382172,23.093260711388794,22.97772760485821,22.97206821153836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  07:00:00,22.8715123968431,23.24873223173349,22.910071185013518,22.93294791213704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  08:00:00,24.110984002784203,24.45816426693819,24.190354293920205,24.128946313250648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  09:00:00,23.646841210406595,23.95098232855055,23.742888689269414,23.723528050652646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  10:00:00,23.876024091294468,24.090373727468112,23.996798299164688,23.939905098959766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  11:00:00,24.211628999744562,24.38761389501829,24.363892520425047,24.29005684847873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  12:00:00,24.108838402297735,24.186499388338774,24.204854969270116,24.135517920267056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  13:00:00,24.757320710486653,24.863465251103918,24.916614043180633,24.844640250794424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  14:00:00,24.90691916929294,25.154936300096434,25.086057828612084,25.02962036337934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  15:00:00,24.168371313683394,24.283297322037917,24.455952555661753,24.36717207101799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  16:00:00,23.887390999519255,24.00070019522017,24.19725350340533,24.10315539105816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  17:00:00,24.67159043627834,24.72354161597469,23.978623458497175,23.897780202909626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  18:00:00,24.20340100782662,24.494703456619792,24.4856476551943,24.328813270844734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/26  19:00:00,23.549353015207096,23.682059949159658,23.84166265830736,23.71533923590912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
