Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),EMS:Comfort Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature [C](Daily),EMS:Adaptive Heating Setpoint Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Daily),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Daily),EMS:Ventilation Setpoint Temperature [C](Daily),EMS:Minimum Outdoor Temperature for ventilation [C](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Daily),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Daily),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Daily),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Daily),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Daily),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Daily),BLOCK1:ZONE2:Zone Operative Temperature [C](Daily),BLOCK1:ZONE1:Zone Operative Temperature [C](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Daily),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Daily) 
 02/21,-0.4625000000000001,71.63541666666667,1.5614583333333334,19.663749808037352,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.61223099303879,21.57145963696512,290.2790030412202,0.09545657093920147,259.2063500481726,0.10253380053430698,1304.4291291662232,3.174027777777779,2.6088597211990954,3.174027777777779,2.6088597211990954,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,295.9244181107703,172.39398175612428,621.6432313242973,498.1699810034961,15226061.18672046,27997880.57279618,9218606.257886605,22794410.04067474 
 02/22,0.41041666666666665,91.25,3.110416666666667,19.4616292735132,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.630067824516008,20.478687595282736,273.3109739647109,0.08987673273433401,308.4714332748894,0.12202150296110098,511.9625416720319,3.020625000000001,1.9920877769592753,3.020625000000001,1.9920877769592753,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,42.869523633689596,58.81499084025418,0.0,2929316.586217238,0.0,4027182.179686358 
 02/23,3.2010416666666663,95.6875,2.2062500000000003,19.353692481310556,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.651289252274356,20.36804798962256,239.03274237990306,0.07860453457096582,259.7266234105827,0.10273960415429832,538.6623959774479,2.899791666666666,1.6711702215674213,2.899791666666666,1.6711702215674213,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,64.49778079077016,80.06802933026933,0.0,4203618.512946999,0.0,5150877.284092089 
 02/24,3.415624999999999,95.07291666666667,3.758333333333333,19.44880580796513,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,20.679332953827288,20.344283095760613,262.5505695443451,0.08633823598766684,317.3938407434306,0.12555092400921652,521.273830099203,2.939652777777779,1.9723528439206033,2.939652777777779,1.9723528439206033,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,47.19347243549331,72.79206409946521,0.0,3045492.8144486896,0.0,4717701.21233543 
 02/25,4.358333333333333,90.83333333333333,2.123958333333334,19.545157667205423,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.79517194085778,19.69139984517247,234.90207124138036,0.07724618726223918,236.59290859492341,0.09358864122424075,1062.2355929384537,3.026041666666666,2.2641322751364825,3.026041666666666,2.2641322751364825,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,408.5729047617883,413.9716188008858,0.0,27027238.741501722,0.0,27198864.14673664 
 02/26,9.410416666666668,89.21875,2.010416666666667,19.678462331681015,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,0.0,0.0,19.771392733647687,19.72479946115417,182.36094287970147,0.05996834114131221,178.38317501651204,0.07056271917111684,757.2249546521113,3.0784027777777774,2.670472486775852,3.0784027777777774,2.670472486775852,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,0.0,0.0,247.92284708183706,244.4184074449516,0.0,14353835.923516007,0.0,14036417.44772523 
 02/27,9.155208333333333,88.46875,4.112499999999999,20.116151636178135,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.686989480968993,20.592328549541843,326.5570836787342,0.10738640789479136,215.8849205171216,0.08539721875854293,931.7549638391752,3.295902777777778,4.01637798942068,3.295902777777778,4.01637798942068,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,644.6375423825381,509.0173274571154,0.0,24247590.084780473,0.0,19201558.68346326 
 02/28,8.246875000000001,89.79166666666667,2.3156250000000007,20.45864604852586,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,3.0,21.796748794610753,20.89518989329393,239.30307274214408,0.07869343114677713,184.99572580027933,0.07317843426821906,1219.8788904095588,3.5061111111111107,5.047685724869878,3.5061111111111107,5.047685724869878,19.10000000000001,33.93333333333333,19.10000000000001,34.45624999999999,38.074436069715425,0.0,513.1018180317775,1267.9445945280029,2429712.742882339,19069901.300689228,0.0,46810803.874395676 
 03/01,2.127083333333333,56.53125,5.550000000000001,20.674705380487328,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,2.0,1.0,20.86458333982257,21.291474278429764,484.9055360596925,0.15945838044345448,313.71985493399444,0.12409761189676022,1132.5655128350497,3.743819444444442,5.6943985798959025,3.743819444444442,5.6943985798959025,19.10000000000001,34.45624999999999,19.10000000000001,33.93333333333333,0.0,2.289746241140742,1080.1190687133799,415.6442017342369,0.0,43238140.4149535,148841.5155656946,17111760.27540418 
 03/02,2.16875,58.854166666666664,3.092708333333333,20.4511718564732,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.998428884704595,22.447099801856197,331.60563131708636,0.10904659358073941,241.0577342412509,0.09535478446168816,1315.34986774456,3.7843055555555574,4.988852197250055,3.7843055555555574,4.988852197250055,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,347.3645505242066,253.26290178343194,614.2047100782282,469.27100020083,17671261.34519606,25904855.42840763,13174474.835220337,19394907.585283406 
 03/03,4.655208333333333,83.5,4.032291666666667,20.262860401845227,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.629862585108114,21.533593783933373,346.0913766708108,0.11381014714292607,243.62576684758216,0.0963706166084478,1020.4133502081996,3.8207638888888904,4.421081757800043,3.8207638888888904,4.421081757800043,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,144.09257826622107,75.60279930907598,568.6697482984204,417.9634956322424,9131500.883441446,21383635.82306759,4851605.353710649,15621386.272550886 
