Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),EMS:Comfort Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature [C](Daily),EMS:Adaptive Heating Setpoint Temperature [C](Daily),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Daily),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Daily),EMS:Ventilation Setpoint Temperature [C](Daily),EMS:Minimum Outdoor Temperature for ventilation [C](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Daily),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Daily),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Daily),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Daily),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Daily),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Daily),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Daily),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Daily),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Daily),BLOCK1:ZONE2:Zone Operative Temperature [C](Daily),BLOCK1:ZONE1:Zone Operative Temperature [C](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Daily),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Daily),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Daily),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Daily),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Daily),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Daily),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Daily) 
 04/05,7.646875000000001,83.79166666666667,0.7479166666666668,20.713611667618746,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,23.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,23.297618827331775,23.41196487871444,209.80842869956828,0.06899428807449355,192.80115696379218,0.07626601496157459,1255.103585541294,6.155902777777782,5.801938140725387,6.155902777777782,5.801938140725387,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,438.0957514550533,320.3265031981974,481.94300959364864,407.901480927035,23348221.267391443,17331694.409846257,17581738.015257325,14757270.756492734 
 04/06,11.018750000000002,79.77083333333333,1.9041666666666668,20.830704698678336,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,2.0,2.0,23.751467920169627,23.767971376940977,198.3249697869016,0.06521801904077118,199.891887143885,0.07907088264245164,1775.9689466567042,6.1915972222222235,6.161133845913642,6.1915972222222235,6.161133845913642,19.16250000000001,33.89166666666666,19.16250000000001,33.89166666666666,570.1409485595246,368.2801279897744,1037.789551029101,842.1817046286961,29656153.297715325,37690226.93586649,19867002.22853726,30741546.68871621 
 04/07,8.758333333333333,83.02083333333333,3.3927083333333328,21.14642443602601,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,23.14650513818216,23.081436236149752,314.19850465185056,0.10332236067391837,211.22613517632402,0.08355435122548784,1186.5519858677856,6.396666666666666,7.130573743397579,6.396666666666666,7.130573743397579,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,341.47546540732714,249.8562816884211,533.8673732960837,416.13148901316873,19080312.506731246,18983234.36633201,14225725.25086224,14830951.094689848 
 04/08,3.177083333333334,77.51041666666667,5.652083333333334,21.26097600715413,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.080348384764743,21.037441640410137,490.6666426716527,0.1613528870258503,332.032664176218,0.13134157767813862,811.0657243195145,6.468819444444448,7.46445899471806,6.468819444444448,7.46445899471806,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,509.6601494958017,396.1239449531688,0.0,19402822.590284366,0.0,15210590.67507065 
 04/09,3.016666666666667,65.97916666666667,5.805208333333333,20.99010424322331,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,20.431241616019438,21.008193167409235,472.54086268674166,0.15539232913213202,268.8083858976028,0.10633206098713062,893.5007451238275,6.4454861111111095,6.619067195774449,6.4454861111111095,6.619067195774449,19.10000000000001,34.45624999999999,19.10000000000001,34.45624999999999,0.0,0.0,616.8721725888731,396.70984136689776,0.0,26174797.789872203,0.0,15437017.41721618 
 04/10,8.362499999999999,73.92708333333333,6.858333333333334,20.748525061245306,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,21.896306463097464,22.273342954789882,493.03622027755256,0.16213210891397775,222.62875320672475,0.08806486480851046,1063.0248399729683,6.417222222222223,5.889420423286226,6.417222222222223,5.889420423286226,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,167.56969986480917,171.29932378225715,549.4367884566163,427.7220063720299,10569080.194456901,19860659.018222876,10619859.461204048,15441393.552677799 
 04/11,5.825000000000002,82.6875,4.226041666666667,20.90144661149626,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,22.385152534649,22.618434057117685,375.630773283172,0.12352400683889819,245.85672575624906,0.09725311310476809,1027.3197341186567,6.504027777777776,6.378203005295649,6.504027777777776,6.378203005295649,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,277.92988652780537,210.52211620021546,381.9951022681053,289.8235835581541,16107716.280688096,14273486.085719377,12055739.394732911,10891281.518733663 
 04/12,2.1979166666666665,68.22916666666667,1.909375,20.87228749753034,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,20.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,22.046686072466503,22.087457853755634,296.5942715237126,0.09753331044699685,246.88938476895643,0.09766160021632693,1064.5090176768367,6.43201388888889,6.277562404236517,6.43201388888889,6.277562404236517,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,203.92578601836945,151.06265269733987,503.64373202700267,400.14880140586934,12338015.047303893,19403902.744073108,9130378.285853256,15477667.94683236 
 04/13,3.077083333333334,73.73958333333333,3.6906249999999994,20.610775831357607,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,22.474738992429412,22.910760413044397,355.0062102640426,0.11674173859937965,370.45593130659694,0.14654060195779262,1122.7153762861908,6.231041666666669,5.4703832567225525,6.231041666666669,5.4703832567225525,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,290.3642812450009,247.77998245890967,499.5089467674671,388.1007552794013,15760335.149551727,18364807.238741204,13342149.359297276,14109026.670875708 
 04/14,7.2875000000000005,73.47916666666667,6.170833333333332,20.44638576925276,33.93333333333333,19.10000000000001,34.03333333333334,19.0,26.51666666666667,-30.899999999999988,21.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,868.8432000000004,722.2871999999998,3040.9536000000003,2528.0087999999996,1.0,1.0,22.492184973688737,22.642528781029924,441.31434914771245,0.1451236707944878,425.90813908956454,0.168475734376227,1148.250687819896,6.04375,4.97880660537804,6.04375,4.97880660537804,19.10000000000001,33.93333333333333,19.10000000000001,33.93333333333333,308.01459545427514,192.8663690496971,548.1346917807588,425.6395617853603,17420077.844216164,19846067.38772198,11171446.703354623,15388227.814386625 
