Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly)
 January,570.3333333333334,580.6666666666667,581.6666666666666,617.6666666666664,547.3333333333334,551.8333333333333,570.0,260.16666666666663,262.1666666666666,257.49999999999994,262.99999999999994,263.5,262.16666666666663,258.8333333333333,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,838305435.7559979,1401905.1309706632,299039470.01818556,0.0,604047019.7055947,1792312.8580971812,168465005.00647432,5060.983075898805,428929197.89666146,1070011.4201288056,302562345.50927454,647762.4279728655,145521558.15335545,0.0
 February,545.3333333333334,560.6666666666667,549.0,593.833333333333,528.8333333333335,535.6666666666666,571.1666666666667,232.8333333333333,237.49999999999994,227.8333333333333,238.66666666666663,233.66666666666663,234.33333333333334,236.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,8.811700000000124,2.1912500000000175,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000057,572392500.0050946,10409191.287610207,202504628.3530254,4167.908879948143,399511950.03461295,15860169.679608323,111522366.79982823,728181.38068077,275742002.49979603,13782303.178171756,200622089.3249554,7056865.618597325,95459978.03985776,192030.96629899018
 March,598.9999999999997,639.0,619.1666666666665,667.6666666666664,602.4999999999998,600.3333333333331,652.3333333333334,258.9999999999999,264.6666666666666,256.99999999999994,265.99999999999994,261.16666666666663,262.16666666666663,264.66666666666663,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,470262918.0075383,46388279.22140253,166513505.73286775,5016650.838062301,300642554.2535934,51891771.73669845,83275242.72911751,7102736.217921599,178790140.6500914,36111068.70267173,140657877.9026892,22441101.592207834,66151189.9197397,3339457.1102458974
 April,560.4999999999998,620.1666666666666,549.8333333333334,602.8333333333333,568.4999999999999,576.5,640.8333333333334,250.99999999999997,255.99999999999991,250.5,256.49999999999994,254.66666666666666,254.33333333333334,258.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,180890871.9495366,172618080.65531188,67279738.80863312,27065115.439636614,98079914.12230368,162947714.07602566,25623171.03061411,30141039.847023085,28218951.751863863,145131104.54406294,26475776.031382125,96010259.58843763,10779001.694351153,22845847.872022405
 May,533.3333333333334,567.0000000000002,488.8333333333337,516.0000000000005,525.666666666667,546.5000000000001,593.1666666666664,301.8333333333333,297.66666666666663,309.6666666666667,298.0,310.66666666666663,303.8333333333333,299.1666666666667,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,46476738.11911095,436564572.09889114,14165593.885658994,99781355.81302105,10562574.33198415,390185522.2565964,2621494.3227858488,85608038.56774534,2265310.270698143,353113329.1555103,3447860.8839142183,230284353.15617105,1404744.5197243525,72701034.5941791
 June,463.83333333333354,461.3333333333335,407.83333333333354,406.8333333333336,437.3333333333337,469.166666666667,474.5000000000002,287.33333333333326,288.66666666666663,301.6666666666666,288.99999999999994,295.33333333333326,301.6666666666666,288.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,10100882.601512613,802247728.7226505,1739221.0849117406,182031328.06078318,0.0,668136223.5985552,0.0,148166118.66408944,0.0,656564987.86346,0.0,429403752.8478652,0.0,138468692.11655515
 July,472.5000000000002,466.50000000000045,414.5000000000001,409.8333333333335,434.83333333333366,467.50000000000034,469.5000000000002,297.9999999999999,298.99999999999994,304.8333333333333,299.33333333333326,303.8333333333333,305.0,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,6332760.47250775,874423873.9945885,1434651.8766045,198548441.87016293,743833.4922467917,718541320.9448323,0.0,161517369.03721434,0.0,715051183.9610317,23786.15068819002,470053135.9198989,0.0,153852850.25994328
 August,491.8333333333336,522.8333333333335,458.1666666666671,481.1666666666672,503.66666666666686,523.0000000000002,558.3333333333335,293.5,294.5,303.0,297.4999999999999,311.0,304.16666666666663,298.5,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,60766890.90099394,586381514.7461795,23669105.367703497,135639087.50411755,16886083.618623447,496065546.68331575,3053858.794872007,113102497.77095394,827629.3877084485,455545026.62852836,1828600.6117819052,300997691.155869,381638.95939169684,99386813.57756929
 September,514.6666666666669,571.3333333333334,497.8333333333336,553.3333333333336,522.0000000000001,530.6666666666667,594.6666666666667,252.16666666666654,252.16666666666652,252.66666666666657,255.4999999999999,256.33333333333326,255.49999999999994,258.3333333333332,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,129269777.14856923,316320346.0645135,56745115.61877455,67868284.08532295,75060894.57345408,283557420.72194946,19836438.259223655,62562301.94160502,12960598.94490411,216500380.99402168,13372048.748023462,147697663.27008262,5519112.205096432,44443424.62917041
 October,582.6666666666667,631.9999999999998,573.666666666667,639.5000000000001,574.5,592.0,659.3333333333333,292.33333333333326,291.1666666666665,287.4999999999999,294.83333333333326,292.6666666666666,293.66666666666663,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,174902911.29873365,168038864.70736468,88048566.79759556,33366151.19863614,139105295.59691378,158402190.12713856,37949145.75297279,33149208.487748954,41571876.025644764,101866428.04091164,30736527.59702974,68732318.40293068,15302036.602334965,18069054.40652502
