,Unnamed: 0,Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),Source,Month,count
10,10, November,564.0000000000001,617.3333333333331,546.5,622.1666666666665,528.3333333333331,548.1666666666669,621.8333333333333,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,244046369.60333964,91022055.30198058,121625989.44613504,15815875.763179742,210959654.72620064,91563846.94243117,54409405.839947656,19582293.604949288,68122622.78930213,44708046.54132436,44729961.202347934,31354692.348048404,23038969.37332037,5911075.909084273,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, November,1
11,11, December,609.9999999999998,646.8333333333333,599.0,663.0000000000001,576.8333333333331,597.0000000000001,658.3333333333334,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,453570269.1427644,28583250.532024138,182440028.629134,2694672.636123635,359170768.4362957,29872900.64586394,96575786.42050566,4736122.289357691,181430010.8005478,15189866.040180296,119273239.88313664,10311132.455370374,58414808.4998067,1482085.5844572177,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_Present.csv, December,1
12,0, January,572.6666666666666,582.8333333333335,584.0,620.1666666666666,547.6666666666665,554.3333333333334,573.8333333333334,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,817139996.4703025,1718325.0792317796,294281840.9815247,0.0,593378056.3879925,2165870.0551319825,165418076.89867702,50132.08058434299,412713647.57109225,1496243.0167702262,289079219.8757137,835319.3013709397,141023563.35474625,0.0,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, January,1
13,1, February,545.3333333333334,560.4999999999999,547.9999999999999,593.8333333333331,527.0000000000001,534.5,571.4999999999999,8.811700000000124,2.191250000000017,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000055,570326364.6158422,11876817.088363172,202242176.9366795,17117.732014763347,399546549.9788973,17647401.566086043,111495117.96771637,921500.4637001856,273449711.004853,15049059.531368556,198778651.368604,7911031.380623195,94579625.17472282,272070.7633241513,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, February,1
14,2, March,600.6666666666665,642.1666666666666,619.5,669.4999999999997,604.6666666666665,603.4999999999999,655.1666666666666,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,457734785.195317,48786558.92829337,162689991.55264944,5391077.175042552,292948594.8162077,54334199.91069456,81037560.29721512,7486989.247454063,171569249.8743766,37805388.28453873,135255922.2975677,23539652.77322258,63575978.30565362,3582839.951117712,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, March,1
15,3, April,559.1666666666666,617.6666666666669,548.0,598.6666666666666,565.6666666666667,575.8333333333331,638.4999999999999,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,165034385.45365006,182835939.5244435,62462570.601029165,29658870.72267793,89308404.65599614,170954405.8977784,23398330.84073212,32381286.787679743,23319491.007531352,152084232.92264524,21994101.71771848,100905169.11933184,8946067.920491647,24904196.66779939,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, April,1
16,4, May,535.8333333333337,570.0,491.50000000000034,520.1666666666671,529.5000000000001,549.8333333333333,596.4999999999999,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,47950811.66921617,431372164.0397412,14731445.988155684,98533100.95368482,11160270.494012568,386148868.2433126,2793450.1761575686,84679432.09936576,2373482.4633986303,347986674.7569905,3546275.3909481624,227289969.27418995,1489997.6142222064,71741020.35641232,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, May,1
17,5, June,465.8333333333336,465.6666666666672,411.66666666666686,412.0000000000001,438.8333333333336,469.0000000000002,478.0000000000002,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,9269755.548176035,783838889.4490778,1552960.019467929,175596867.50933632,0.0,648594859.4010619,0.0,143478604.52712035,0.0,637659339.1469437,0.0,420162652.0055194,0.0,134075919.5023688,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, June,1
18,6, July,471.6666666666669,465.00000000000034,412.6666666666668,408.50000000000017,434.1666666666669,467.8333333333337,469.66666666666686,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,6857752.828556578,902295831.979764,1524737.7277682617,204949934.02321708,798748.3808155897,739970016.0390947,0.0,166195371.71374375,0.0,736400918.1259228,30058.384769065982,484675570.6427818,0.0,158469647.88279596,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, July,1
19,7, August,485.3333333333336,515.3333333333335,451.83333333333366,477.0000000000003,501.50000000000017,519.666666666667,556.5000000000002,8.811700000000132,2.191250000000024,5.869599999999992,1.2241000000000135,6.06669999999998,3.727249999999952,1.348250000000006,73736893.93229353,622762408.4182956,29037124.125470072,144593205.2040543,21615176.02162177,526754111.6562599,4471350.7179397,119495219.25520778,1107647.6917748356,481084018.5938432,2283632.2813588986,319009627.9907991,567362.5975056267,105096676.74472836,ChileanModel[CS_INT EN16798[CA_3[CM_3[HM_2[VC_0[VO_0.0[MT_50.0[MW_50.0[AT_0.1[NS_X[Chile_Zapallar_ssp126-2050.csv, August,1
