Date/Time,EMS:Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Comfortable Hours_No Applicability_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_LIVINGXROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_MASTERBEDROOM [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM1 [H](Monthly),EMS:Occupied Hours_BLOQUE1_BEDROOM2 [H](Monthly),EMS:Occupied Hours_BLOQUE1_KITCHEN [H](Monthly),EMS:Occupied Hours_BLOQUE1_BATHROOM2 [H](Monthly),EMS:Zone Floor Area_BLOQUE1_LIVINGXROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_MASTERBEDROOM [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM1 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BEDROOM2 [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_KITCHEN [m2](Monthly),EMS:Zone Floor Area_BLOQUE1_BATHROOM2 [m2](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:LIVINGXROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:MASTERBEDROOM:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM1:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BEDROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:KITCHEN:VRF Heat Pump Heating Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Cooling Electricity Energy [J](Monthly),VRF OUTDOOR UNIT_BLOQUE1:BATHROOM2:VRF Heat Pump Heating Electricity Energy [J](Monthly)
 January,572.6666666666666,582.8333333333335,584.4999999999999,619.6666666666665,550.4999999999998,555.3333333333334,574.0,257.99999999999994,262.3333333333332,260.33333333333326,263.16666666666663,264.0,263.33333333333326,259.0,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,819593614.5631062,1440539.2938077785,292924297.63692635,0.0,591423325.1398329,1820834.3877581751,164673615.46795824,8697.803908489885,416865813.2226094,1194454.394182416,293503765.5758208,703500.9753924957,141525597.28531218,0.0
 February,546.1666666666667,561.3333333333333,548.4999999999998,593.9999999999998,527.8333333333334,534.8333333333334,571.9999999999999,233.16666666666663,237.33333333333326,227.6666666666666,238.49999999999997,233.16666666666666,234.66666666666666,237.16666666666663,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,251.99999999999997,8.811700000000124,2.1912500000000175,5.869599999999992,1.224100000000013,6.066699999999947,3.7272499999999567,1.3482500000000057,567510441.4196143,12124944.014601318,201054498.4771421,26774.970441870846,397469027.3830767,17905140.40915932,110892969.8168963,969910.7063391731,271716557.0367822,15212817.608481161,197598581.1906639,8031708.958509297,93958760.74907623,282891.6915583105
 March,600.1666666666665,641.3333333333334,619.6666666666667,668.333333333333,605.4999999999998,603.9999999999999,656.3333333333333,259.83333333333326,265.6666666666666,256.83333333333326,266.16666666666663,261.3333333333333,262.99999999999994,264.66666666666663,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,278.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,453122275.30630636,51687829.83673451,161290495.35165244,6040847.7734081205,290011339.18729264,56616435.339507535,80210128.60871969,8013709.50167753,168965172.98305103,39320323.275802545,132997409.33497861,24692266.872520488,62532697.418377,3954278.4519279497
 April,560.8333333333333,620.5,548.8333333333331,600.6666666666666,567.1666666666669,576.833333333333,639.8333333333334,252.3333333333333,256.1666666666666,252.33333333333331,256.99999999999994,255.3333333333333,255.33333333333334,259.9999999999999,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,161002340.11005062,177327579.13999516,60804407.817186296,28382604.184836116,86538161.99347347,166311135.6826682,22619919.29609944,31371388.01624991,22705836.080153912,148445796.02934793,21399839.36209448,98291364.57022047,8700387.376636082,24036219.296541594
 May,536.0000000000003,570.1666666666665,490.666666666667,518.0000000000005,527.1666666666667,548.6666666666667,595.3333333333331,295.66666666666663,297.66666666666663,303.3333333333333,298.0,310.66666666666663,303.8333333333333,299.1666666666667,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,41626102.92965234,411421628.0033139,12788660.882729102,93872497.17839335,9481734.514243104,369738923.6440019,2320117.7003828627,81246722.8852623,1886805.1926045811,334285130.3607048,3026294.56407153,217609151.512944,1226226.7665692118,68635489.8705676
 June,465.1666666666669,465.00000000000045,411.33333333333354,411.33333333333354,438.1666666666671,468.0000000000002,474.5000000000003,287.1666666666666,288.66666666666663,288.83333333333326,288.83333333333326,295.16666666666663,295.1666666666666,288.83333333333326,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,8111308.653543329,776884149.9408009,1289299.1290670028,173976606.52136362,0.0,642870850.8535042,0.0,142364276.2532117,0.0,632827883.841751,0.0,416514469.21652776,0.0,133083093.35332455
 July,470.6666666666668,462.1666666666668,412.00000000000017,405.8333333333335,431.33333333333366,463.6666666666671,463.16666666666686,297.83333333333326,298.99999999999994,305.0,298.99999999999994,297.66666666666663,305.0,299.33333333333326,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,4930983.276514732,878711779.2821629,1104704.8641616884,199444591.66784602,406589.7270964195,722440519.7801424,0.0,162491670.13205922,0.0,721098196.768884,0.0,473307052.28526556,0.0,154847549.7411289
 August,490.6666666666669,517.8333333333337,455.00000000000034,475.83333333333366,498.33333333333354,517.8333333333337,551.0,300.33333333333326,295.0,303.1666666666667,297.6666666666666,311.0,310.5,298.3333333333333,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,53763566.68109835,612860840.7876453,20770720.879768223,141983467.83747754,14311470.935741708,515158701.9642665,2615485.0016187523,117540909.25425872,682323.5328089432,476731545.26309454,1620608.266615091,315337667.6858143,280355.86524349527,104336038.88552186
 September,512.5000000000002,570.0,495.00000000000017,547.6666666666669,522.5000000000001,530.1666666666669,591.6666666666665,252.99999999999991,253.83333333333317,253.3333333333333,255.83333333333326,256.83333333333326,255.99999999999994,258.4999999999999,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,269.99999999999994,8.811700000000128,2.191250000000022,5.869599999999992,1.2241000000000135,6.066699999999969,3.7272499999999535,1.348250000000006,116332103.2429682,331995641.1402633,52375332.56887731,71882894.72394143,67211205.91443203,295025560.9864018,17431050.807845905,65798540.58824934,10272046.633298988,227193830.129383,11039397.02718708,154983443.7149574,4391445.720122622,47302102.69600559
 October,578.6666666666666,626.8333333333331,570.8333333333334,639.3333333333334,571.1666666666669,588.6666666666669,655.4999999999998,291.8333333333332,291.1666666666665,286.6666666666666,294.6666666666666,292.33333333333326,292.99999999999994,299.16666666666663,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,309.99999999999994,8.811700000000132,2.1912500000000237,5.869599999999992,1.2241000000000137,6.0666999999999796,3.727249999999952,1.348250000000006,194768802.45088926,162673226.31252787,95611586.15992033,32206079.70428409,152720677.43435317,153965320.64744508,42610998.202101715,32153746.6821588,47437692.61091115,97550966.61079398,34913561.91230964,65806561.582053706,17519018.482305646,17203764.639042992
