Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),EMS:Comfort Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature [C](Hourly),EMS:Adaptive Heating Setpoint Temperature [C](Hourly),EMS:Adaptive Cooling Setpoint Temperature_No Tolerance [C](Hourly),EMS:Adaptive Heating Setpoint Temperature_No Tolerance [C](Hourly),EMS:Ventilation Setpoint Temperature [C](Hourly),EMS:Minimum Outdoor Temperature for ventilation [C](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_No Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE2 [H](Hourly),EMS:Comfortable Hours_Applicability_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Hot Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Discomfortable Non Applicable Cold Hours_BLOCK1_ZONE1 [H](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE2 [m2](Hourly),EMS:Zone Floor Area_BLOCK1_ZONE1 [m2](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE2 [m3](Hourly),EMS:Zone Air Volume_BLOCK1_ZONE1 [m3](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE2 [H](Hourly),EMS:Ventilation Hours_BLOCK1_ZONE1 [H](Hourly),BLOCK1:ZONE2:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE1:Zone Operative Temperature [C](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE2:AFN Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Volume [m3](Hourly),BLOCK1:ZONE1:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),AHST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE2:Schedule Value [](Hourly),AHST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),ACST_SCH_BLOCK1_ZONE1:Schedule Value [](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),BLOCK1:ZONE2 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),BLOCK1:ZONE1 VRF INDOOR UNIT DX HEATING COIL:Heating Coil Heating Rate [W](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE2:VRF Heat Pump Heating Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Cooling Electricity Energy [J](Hourly),VRF OUTDOOR UNIT_BLOCK1:ZONE1:VRF Heat Pump Heating Electricity Energy [J](Hourly) 
 01/01  11:00:00,1.0,71.0,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.342442667311886,18.35494156096307,10.60869155558147,0.08372656436913581,9.397745782577253,0.0892187949590421,904.6590952405206,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,453.22649490157403,345.71617871536387,0.0,1278950.7948893083,0.0,973750.7220107403 
 01/01  12:00:00,2.5,71.75,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.634256628693606,18.61096495336318,9.474921894252011,0.07477855810165873,8.612489891108375,0.08176385991480767,254.43093455052914,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,2.55,81.75,1.375,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.7578578033068,18.662706173706113,9.811880864333023,0.07743792629522284,8.188660510535314,0.0777401772702878,254.43093455052914,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,2.625,79.75,1.125,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.829750663404653,18.610087195634847,9.536062858806298,0.07526109856176404,8.077347205460097,0.07668340906528581,254.43093455052914,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,1.65,81.0,1.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.507847275418257,18.247840462546307,9.855676527519105,0.07778357310695516,8.443264573422073,0.08015729603557145,327.0862728468695,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,0.0,86.13687328595104,0.0,0.0,0.0,236979.75301252343 
 01/01  16:00:00,0.85,86.5,1.8250000000000002,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.049788941469995,17.956348933501296,11.01460889377898,0.08693017001334566,8.847358592675963,0.08399361830711313,942.9472138415995,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,413.04429665143505,470.7869633748826,0.0,1126658.6982716257,0.0,1265945.4853892257 
 01/01  17:00:00,0.09999999999999999,86.5,2.475,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,17.9436619925592,17.929532874742947,12.46499528051563,0.09837699816675108,10.444351215646716,0.09915488790051727,1353.4228884230033,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,728.8710147152733,710.2534500468564,0.0,1977120.0158950062,0.0,1906523.920548779 
 01/01  18:00:00,-0.325,86.75,2.0,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,17.962762039351883,17.976926872138442,12.077474041153286,0.09531857933895435,10.63259553072523,0.10094201125304846,1564.7267484968022,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,890.5048507535548,827.539424559799,0.0,2420736.5861236323,0.0,2230277.745991557 
 01/01  19:00:00,-0.55,87.75,1.2,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.00755820774696,18.026280839728948,10.852877598469579,0.08565374439230836,10.065135439757558,0.09555475066154097,1650.8510969964782,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,954.4649074803555,870.8987533443344,0.0,2605623.356241908,0.0,2358027.117757624 
 01/01  20:00:00,-0.075,88.75,1.375,18.4465465392,24.9,18.1,25.0,18.0,21.5,-31.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.2018,30.0953,126.7064,105.3337,0.0,0.0,18.050254637687175,18.06461762031191,11.036185824234064,0.0871004607836231,10.053154138289864,0.09544100452457158,1657.4173166599094,4.082777777777779,-1.071071093333333,4.082777777777779,-1.071071093333333,18.1,24.9,18.1,24.9,0.0,0.0,968.4184866317787,874.0492839706908,0.0,2631219.387899191,0.0,2355925.734353843 
