"ModelObjectId";"Zone";"InheritedZoneHandle";"ParentId";"Block";"Title";"FloorArea";"OccupancyMethod";"OccupancyFloorAreaPerPersonIsOccupied";"OccupancyFloorAreaPerPerson";"OccupancyValueIsOccupied";"OccupancyValue";"OccupancyNumberOfPeopleIsOccupied";"OccupancyNumberOfPeople";"OccupancySchedule";"MetabolicRateId";"ComputersOn";"ComputersValue";"ComputersAbsoluteValue";"ComputersSchedule";"EquipmentOn";"EquipmentValue";"EquipmentAbsoluteValue";"EquipmentSchedule";"MiscellaneousOn";"MiscellaneousValue";"CateringOn";"CateringValue";"ProcessOn";"ProcessValue";"FluorescentLightingOn";"FluorescentLightingValue";"FluorescentLightingSchedule"
"Model Object Identifier";"Zone";"Inherited Zone Handle";"Parent Identifier";"Block";"Identity - Identity - Name";"Activity - Floor Areas and Volumes - Floor area (m2)";"Activity - Occupancy - Occupancy method";"Activity - Occupancy - Occupied?";"Activity - Occupancy - Floor area per person (m2/person)";"Activity - Occupancy - Occupied?_";"Activity - Occupancy - Occupancy density (people/m2)";"Activity - Occupancy - Occupied?__";"Activity - Occupancy - Number of people";"Activity - Occupancy - Schedule";"Activity - Metabolic - Activity";"Activity - Computers - On";"Activity - Computers - Power density (W/m2)";"Activity - Computers - Absolute zone power (W)";"Activity - Computers - Schedule";"Activity - Office Equipment - On";"Activity - Office Equipment - Power density (W/m2)";"Activity - Office Equipment - Absolute zone power (W)";"Activity - Office Equipment - Schedule";"Activity - Miscellaneous - On";"Activity - Miscellaneous - Power density (W/m2)";"Activity - Catering - On";"Activity - Catering - Power density (W/m2)";"Activity - Process - On";"Activity - Process - Power density (W/m2)";"Lighting - General Lighting - On";"Lighting - General Lighting - Power density (W/m2)";"Lighting - General Lighting - Schedule"
"2052";"En-suite 2";"0";"0";"0_Basement";"En-suite 2";"5.3";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"1599";"Lift";"0";"0";"0_Basement";"Lift";"2.5";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"1641";"Mechanical room";"0";"0";"0_Basement";"Mechanical room";"23.2";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"1403";"Courtyard";"0";"0";"0_Basement";"Courtyard";"8.2";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"3055";"Bathroom 1";"0";"0";"1_Lower floor";"Bathroom 1";"2.5";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"5332";"Living-Dining";"0";"0";"1_Lower floor";"Living-Dining";"47.1";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"2907";"Lift";"0";"0";"1_Lower floor";"Lift";"2.9";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"2914";"Riser  1";"0";"0";"1_Lower floor";"Riser  1";"0.7";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"2800";"Garage";"0";"0";"1_Lower floor";"Garage";"42.0";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"3063";"Riser";"0";"0";"1_Lower floor";"Riser";"0.2";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"1434";"Courtyard";"0";"0";"1_Lower floor";"Courtyard";"8.2";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"5395";"Kitchen";"0";"0";"1_Lower floor";"Kitchen";"29.0";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"4869";"Courtyard";"0";"0";"2_Upper floor";"Courtyard";"0.0";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"4876";"En-suite";"0";"0";"2_Upper floor";"En-suite";"2.1";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"4896";"Riser";"0";"0";"2_Upper floor";"Riser";"0.4";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"4903";"Lift";"0";"0";"2_Upper floor";"Lift";"1.7";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"4883";"Master bedroom";"0";"0";"2_Upper floor";"Master bedroom";"41.5";"1-Occupancy density";"True";"33.33";"True";"0.0300";"True";"1.00";"On 24/7|2";"Tasa metabolica Residencial CTE|10000";"False";"0.00";"0.00";"Dwell_DomBed_Equip|3331";"False";"3.58";"0.00";"Dwell_DomBed_Equip|3331";"True";"4.40";"False";"0.00";"False";"0.00";"True";"9.0000";"Residencial CTE Equipos e Iluminacion|10001"
"5021";"Storage";"0";"0";"2_Upper floor";"Storage";"1.2";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
"5029";"Double height living";"0";"0";"2_Upper floor";"Double height living";"8.3";"1-Occupancy density";"False";"33.33";"True";"0.0000";"True";"0.00";"Off 24/7|7";"Typing|10";"False";"5.00";"0.00";"Off 24/7|7";"False";"5.00";"0.00";"Off 24/7|7";"False";"0.00";"False";"0.00";"False";"0.00";"False";"15.0000";"Off 24/7|7"
